ts,security_id,mark_type,mark
2025-01-01,BOND_A,CLEAN_PRICE,99.7655
2025-01-01,BOND_B,CLEAN_PRICE,100.2182
2025-01-02,BOND_A,CLEAN_PRICE,99.7443
2025-01-02,BOND_B,CLEAN_PRICE,100.2986
2025-01-03,BOND_A,CLEAN_PRICE,99.7925
2025-01-03,BOND_B,CLEAN_PRICE,100.3339
2025-01-04,BOND_A,CLEAN_PRICE,99.8682
2025-01-04,BOND_B,CLEAN_PRICE,100.3585
2025-01-05,BOND_A,CLEAN_PRICE,99.8984
2025-01-05,BOND_B,CLEAN_PRICE,100.4218
2025-01-06,BOND_A,CLEAN_PRICE,99.9523
2025-01-06,BOND_B,CLEAN_PRICE,100.4681
2025-01-07,BOND_A,CLEAN_PRICE,99.9655
2025-01-07,BOND_B,CLEAN_PRICE,100.4935
2025-01-08,BOND_A,CLEAN_PRICE,99.9995
2025-01-08,BOND_B,CLEAN_PRICE,100.5894
2025-01-09,BOND_A,CLEAN_PRICE,99.9828
2025-01-09,BOND_B,CLEAN_PRICE,100.6117
2025-01-10,BOND_A,CLEAN_PRICE,100.0999
2025-01-10,BOND_B,CLEAN_PRICE,100.5662
2025-01-11,BOND_A,CLEAN_PRICE,100.1700
2025-01-11,BOND_B,CLEAN_PRICE,100.5892
2025-01-12,BOND_A,CLEAN_PRICE,100.1403
2025-01-12,BOND_B,CLEAN_PRICE,100.7210
2025-01-13,BOND_A,CLEAN_PRICE,100.2169
2025-01-13,BOND_B,CLEAN_PRICE,100.7431
2025-01-14,BOND_A,CLEAN_PRICE,100.2589
2025-01-14,BOND_B,CLEAN_PRICE,100.7775
2025-01-15,BOND_A,CLEAN_PRICE,100.2273
2025-01-15,BOND_B,CLEAN_PRICE,100.8379
2025-01-16,BOND_A,CLEAN_PRICE,100.3274
2025-01-16,BOND_B,CLEAN_PRICE,100.8119
2025-01-17,BOND_A,CLEAN_PRICE,100.3278
2025-01-17,BOND_B,CLEAN_PRICE,100.8907
2025-01-18,BOND_A,CLEAN_PRICE,100.4078
2025-01-18,BOND_B,CLEAN_PRICE,100.8575
2025-01-19,BOND_A,CLEAN_PRICE,100.4482
2025-01-19,BOND_B,CLEAN_PRICE,100.9397
