ts,trade_id,security_id,delta_shares,fill_price
2025-01-01,20250101_476011360_072315571_6440,476011360,651,96.1793
2025-01-01,20250101_476011360_072315571_6440,072315571,-655,95.5553
2025-01-01,20250101_440625658_839643324_5521,440625658,700,91.3083
2025-01-01,20250101_440625658_839643324_5521,839643324,-663,96.3922
2025-01-01,20250101_423440463_989981424_3542,423440463,688,92.0561
2025-01-01,20250101_423440463_989981424_3542,989981424,-625,101.3943
2025-01-02,20250102_077932049_741809469_8291,077932049,499,94.0526
2025-01-02,20250102_077932049_741809469_8291,741809469,-501,93.7628
2025-01-02,20250102_038882189_601131654_5610,038882189,584,99.9965
2025-01-02,20250102_038882189_601131654_5610,601131654,-550,106.2216
2025-01-04,20250104_416232418_429306986_7159,416232418,677,103.3271
2025-01-04,20250104_416232418_429306986_7159,429306986,-654,106.8976
2025-01-05,20250105_626236969_903231779_3270,626236969,472,102.4168
2025-01-05,20250105_626236969_903231779_3270,903231779,-511,94.5847
2025-01-06,20250106_843351688_201095952_6943,843351688,323,94.5732
2025-01-06,20250106_843351688_201095952_6943,201095952,-293,104.3975
2025-01-07,20250107_338127547_349738713_5286,338127547,629,98.4844
2025-01-07,20250107_338127547_349738713_5286,349738713,-633,97.8573
2025-01-07,20250101_440625658_839643324_5521,440625658,-700,91.2790
2025-01-07,20250101_440625658_839643324_5521,839643324,663,96.4799
2025-01-07,20250107_864615581_097117958_3380,864615581,340,93.7900
2025-01-07,20250107_864615581_097117958_3380,097117958,-347,91.7815
2025-01-08,20250108_970110850_228485908_4469,970110850,473,106.6251
2025-01-08,20250108_970110850_228485908_4469,228485908,-488,103.3286
2025-01-09,20250109_843267474_777200329_2558,843267474,291,103.8009
2025-01-09,20250109_843267474_777200329_2558,777200329,-277,108.9266
2025-01-10,20250104_416232418_429306986_7159,416232418,-677,103.5589
2025-01-10,20250104_416232418_429306986_7159,429306986,654,106.9019
2025-01-10,20250102_077932049_741809469_8291,077932049,-499,94.2663
2025-01-10,20250102_077932049_741809469_8291,741809469,501,93.7673
2025-01-10,20250110_989586553_772358515_6326,989586553,434,94.0570
2025-01-10,20250110_989586553_772358515_6326,772358515,-374,109.1342
2025-01-10,20250110_186855571_115706897_2794,186855571,393,100.3141
2025-01-10,20250110_186855571_115706897_2794,115706897,-434,90.8656
2025-01-11,20250101_476011360_072315571_6440,476011360,-651,96.5609
2025-01-11,20250101_476011360_072315571_6440,072315571,655,95.5482
2025-01-11,20250111_928019730_999570263_7804,928019730,649,104.8665
2025-01-11,20250111_928019730_999570263_7804,999570263,-672,101.2962
2025-01-12,20250105_626236969_903231779_3270,626236969,-472,102.7829
2025-01-12,20250105_626236969_903231779_3270,903231779,511,94.7535
2025-01-12,20250112_972462736_983110157_6015,972462736,299,108.2111
2025-01-12,20250112_972462736_983110157_6015,983110157,-324,99.8042
2025-01-12,20250112_820039907_976694569_9184,820039907,380,89.7601
2025-01-12,20250112_820039907_976694569_9184,976694569,-365,93.4286
2025-01-13,20250106_843351688_201095952_6943,843351688,-323,94.5298
2025-01-13,20250106_843351688_201095952_6943,201095952,293,104.4928
2025-01-14,20250114_103741581_330560588_3421,103741581,359,99.6646
2025-01-14,20250114_103741581_330560588_3421,330560588,-377,94.9674
2025-01-14,20250114_936327429_835543600_0037,936327429,653,90.9009
2025-01-14,20250114_936327429_835543600_0037,835543600,-596,99.5679
2025-01-15,20250107_338127547_349738713_5286,338127547,-629,98.5401
2025-01-15,20250107_338127547_349738713_5286,349738713,633,97.7920
2025-01-15,20250115_189446742_446442712_0143,189446742,630,92.4230
2025-01-15,20250115_189446742_446442712_0143,446442712,-609,95.5634
2025-01-15,20250107_864615581_097117958_3380,864615581,-340,93.8967
2025-01-15,20250107_864615581_097117958_3380,097117958,347,91.9186
2025-01-15,20250115_717961441_297218385_0765,717961441,526,103.1722
2025-01-15,20250115_717961441_297218385_0765,297218385,-553,98.2176
