ts,trade_id,security_id,delta_weight,fill_mark_override
2025-01-09,20250109_937134680_871530216_7637,937134680,0.05,105.9210
2025-01-09,20250109_937134680_871530216_7637,871530216,-0.05,
2025-01-11,20250111_732620645_840044750_4899,732620645,0.05,92.8579
2025-01-11,20250111_732620645_840044750_4899,840044750,-0.05,
2025-01-14,20250114_890919535_840741674_9934,890919535,0.05,105.5764
2025-01-14,20250114_890919535_840741674_9934,840741674,-0.05,
2025-01-17,20250117_426542251_5180,426542251,-0.0500,
2025-01-19,20250119_468950367_119843733_4178,468950367,0.05,92.5922
2025-01-19,20250119_468950367_119843733_4178,119843733,-0.05,
2025-01-20,20250109_937134680_871530216_7637,937134680,-0.05,
2025-01-20,20250109_937134680_871530216_7637,871530216,0.05,
2025-01-21,20250111_732620645_840044750_4899,732620645,-0.05,
2025-01-21,20250111_732620645_840044750_4899,840044750,0.05,
2025-01-22,20250122_738323266_470366338_9318,738323266,0.05,93.7486
2025-01-22,20250122_738323266_470366338_9318,470366338,-0.05,
2025-01-29,20250129_383159764_3994,383159764,0.0500,93.9839
2025-01-30,20250119_468950367_119843733_4178,468950367,-0.05,
2025-01-30,20250119_468950367_119843733_4178,119843733,0.05,
2025-01-31,20250114_890919535_840741674_9934,890919535,-0.05,
2025-01-31,20250114_890919535_840741674_9934,840741674,0.05,
2025-02-02,20250117_426542251_5180,426542251,0.0500,
2025-02-04,20250129_383159764_3994,383159764,-0.0500,
2025-02-07,20250122_738323266_470366338_9318,738323266,-0.05,
2025-02-07,20250122_738323266_470366338_9318,470366338,0.05,
2025-02-17,20250217_756403032_6767,756403032,0.0500,98.4606
2025-02-24,20250217_756403032_6767,756403032,-0.0500,
2025-03-01,20250301_546046101_242397013_1461,546046101,0.05,96.0662
2025-03-01,20250301_546046101_242397013_1461,242397013,-0.05,
2025-03-03,20250303_110880260_482472215_5537,110880260,0.05,92.8830
2025-03-03,20250303_110880260_482472215_5537,482472215,-0.05,
2025-03-18,20250318_411946944_318246510_1676,411946944,0.05,106.5924
2025-03-18,20250318_411946944_318246510_1676,318246510,-0.05,
2025-03-19,20250319_317557899_607665098_4381,317557899,0.05,93.0885
2025-03-19,20250319_317557899_607665098_4381,607665098,-0.05,
2025-03-21,20250301_546046101_242397013_1461,546046101,-0.05,
2025-03-21,20250301_546046101_242397013_1461,242397013,0.05,
2025-03-23,20250303_110880260_482472215_5537,110880260,-0.05,
2025-03-23,20250303_110880260_482472215_5537,482472215,0.05,
2025-03-29,20250329_121576167_527558862_5228,121576167,0.05,104.9226
2025-03-29,20250329_121576167_527558862_5228,527558862,-0.05,
2025-03-29,20250318_411946944_318246510_1676,411946944,-0.05,
2025-03-29,20250318_411946944_318246510_1676,318246510,0.05,
2025-03-31,20250319_317557899_607665098_4381,317557899,-0.05,
2025-03-31,20250319_317557899_607665098_4381,607665098,0.05,
2025-04-04,20250404_374562489_7452,374562489,-0.0500,
2025-04-14,20250404_374562489_7452,374562489,0.0500,
2025-04-14,20250414_317557899_770181668_0557,317557899,0.05,93.7457
2025-04-14,20250414_317557899_770181668_0557,770181668,-0.05,
2025-04-14,20250329_121576167_527558862_5228,121576167,-0.05,
2025-04-14,20250329_121576167_527558862_5228,527558862,0.05,
2025-04-15,20250415_138957247_104667984_8956,138957247,0.05,107.1028
2025-04-15,20250415_138957247_104667984_8956,104667984,-0.05,
2025-04-16,20250416_330783523_6412,330783523,0.0500,93.3426
2025-04-24,20250415_138957247_104667984_8956,138957247,-0.05,
2025-04-24,20250415_138957247_104667984_8956,104667984,0.05,
2025-04-27,20250416_330783523_6412,330783523,-0.0500,
2025-04-27,20250427_453797879_136958638_2194,453797879,0.05,102.9097
2025-04-27,20250427_453797879_136958638_2194,136958638,-0.05,
2025-05-03,20250414_317557899_770181668_0557,317557899,-0.05,
2025-05-03,20250414_317557899_770181668_0557,770181668,0.05,
2025-05-11,20250511_844671559_592747461_2010,844671559,0.05,97.5507
2025-05-11,20250511_844671559_592747461_2010,592747461,-0.05,
2025-05-13,20250513_836002513_685486837_3547,836002513,0.05,105.0712
2025-05-13,20250513_836002513_685486837_3547,685486837,-0.05,
2025-05-16,20250427_453797879_136958638_2194,453797879,-0.05,
2025-05-16,20250427_453797879_136958638_2194,136958638,0.05,
